Date,Close/Last,Open,High,Low
01/03/25,19621.68,19395.51,19638.66,19379.57
01/02/25,19280.79,19403.9,19517.87,19117.59
12/31/2024,19310.79,19551.36,19563.72,19283.41
12/30/2024,19486.78,19460.41,19622.93,19342.51
12/27/2024,19722.03,19896.77,19904.77,19553.4
12/26/2024,20020.36,19979.25,20070.08,19888.11
12/24/2024,20031.13,19818.48,20031.13,19813.76
12/23/2024,19764.89,19641.05,19772.09,19504.68
12/20/2024,19572.6,19190.04,19758.61,19168.38
12/19/2024,19372.77,19565.66,19623.02,19357.76
12/18/2024,19392.69,20114.98,20179.77,19336.59
12/17/2024,20109.06,20095.62,20148.83,20004.73
12/16/2024,20173.89,20016.12,20204.58,19988.12
12/13/2024,19926.72,19995.18,20061.65,19817.47
12/12/24,19902.84,19947.34,20018.24,19897.38
12/11/24,20034.89,19832.96,20055.93,19830.64
12/10/24,19687.24,19796.39,19887.08,19641.34
12/09/24,19736.69,19824.09,19872.79,19698.05
12/06/24,19859.77,19743.96,19863.14,19734.42
12/05/24,19700.72,19756.4,19790.03,19688.59
12/04/24,19735.12,19587.48,19741.76,19575.4
12/03/24,19480.91,19364.34,19486.15,19340.41
12/02/24,19403.95,19255.42,19436.92,19255.42
11/29/2024,19218.17,19087.47,19245.49,19066.52
11/27/2024,19060.48,19132.99,19133.11,18937.2
11/26/2024,19175.58,19109.08,19184.4,19100.73
11/25/2024,19054.83,19140.59,19208.68,18969.35
11/22/2024,19003.65,18966.32,19025.77,18899.48
11/21/2024,18972.42,19072.78,19110.89,18714.06
11/20/2024,18966.14,18971.31,18974.91,18724.39
11/19/2024,18987.47,18699.7,18992.08,18689.83
11/18/2024,18791.81,18717.93,18865.28,18672.3
11/15/2024,18680.12,18929.92,18936.75,18598.87
11/14/2024,19107.65,19256.09,19275.8,19073.39
11/13/2024,19230.73,19286.46,19358.48,19191.13
11/12/24,19281.4,19289.81,19343.05,19168.52
11/11/24,19298.76,19355.34,19366.07,19193.29
11/08/24,19286.78,19255.14,19318.56,19224.43
11/07/24,19269.46,19084.43,19301.7,19084.43
11/06/24,18983.47,18772.76,19000.5,18730.21
11/05/24,18439.17,18250.71,18449.67,18250.71
