Date,NVDA,NASDAQ,Expected_Return,AB_Return,Event_Date,Window,Cumulative_AB_Return,
02/01/25,-0.043574331,-0.017525814,-0.03886478,-0.004709551,,,-0.004709551,
31/12/24,-0.029495902,0.001554744,0.001587989,-0.031083891,,,-0.035647051,
30/12/24,0.023549547,0.00907228,0.017525948,0.006023599,,,-0.029838175,
27/12/24,-0.003497271,0.011999998,0.023733015,-0.027230286,,,-0.056255959,
26/12/24,0.021088382,0.015013471,0.03012189,-0.009033508,,,-0.064781279,
24/12/24,0.00207032,0.000537808,-0.000568021,0.002638341,,,-0.062313852,
23/12/24,-0.00393012,-0.013380432,-0.030076139,0.026146019,,,-0.037797093,
20/12/24,-0.036232414,-0.009776502,-0.022435432,-0.013796982,,,-0.051072589,
19/12/24,-0.030298497,-0.010262157,-0.023465071,-0.006833426,,,-0.057557014,
18/12/24,-0.0136371,0.001027719,0.000470641,-0.014107741,,,-0.070852756,
17/12/24,0.011415473,0.036274269,0.075196995,-0.063781522,,,-0.130115182,
16/12/24,0.012271963,0.003218734,0.005115821,0.007156142,,,-0.123890162,
13/12/24,0.016901811,-0.012327649,-0.027844129,0.04474594,,,-0.084687804,
12/12/24,0.02275587,-0.00119911,-0.004250468,0.027006338,,,-0.059968574,
11/12/24,0.014242063,0.006612819,0.012311634,0.001930428,,,-0.05815391,
10/12/24,-0.030908503,-0.017504544,-0.038819685,0.007911182,,,-0.050702794,
09/12/24,0.027312929,0.00250863,0.003610326,0.023702603,,,-0.02820198,
06/12/24,0.025814767,0.006216737,0.011471899,0.014342868,,,-0.01426361,
05/12/24,0.018226592,-0.008040894,-0.018755762,0.036982354,,,0.022191243,
04/12/24,0.000551344,0.001744606,0.001990516,-0.001439172,,,0.020720134,
03/12/24,-0.034200951,-0.012964778,-0.029194909,-0.005006042,,,0.015610366,
02/12/24,-0.01168933,-0.003958358,-0.010100361,-0.001588969,,,0.013996592,
29/11/24,-0.002744873,-0.009620468,-0.022104624,0.019359751,,,0.033627314,
27/11/24,-0.02127351,-0.008239104,-0.019175988,-0.002097522,,,0.031459258,
26/11/24,0.011606683,0.006020513,0.011055884,0.000550799,,,0.032027385,
25/11/24,-0.00659488,-0.006316982,-0.015100889,0.008506009,,,0.040805819,
22/11/24,0.042672949,-0.002689547,-0.00741035,0.050083299,20/11/24,2,0.092932808,
21/11/24,0.032710282,-0.00164472,-0.005195208,0.03790549,20/11/24,1,0.134360961,
20/11/24,-0.005332252,-0.000331062,-0.002410116,-0.002922136,20/11/24,0,0.131046204,
19/11/24,0.007647699,0.001124004,0.000674775,0.006972924,20/11/24,-1,0.138932903,
18/11/24,-0.047787334,-0.010358151,-0.023668588,-0.024118746,20/11/24,-2,0.11146327,
15/11/24,0.012972925,-0.00596128,-0.014346764,0.027319689,,,0.141828102,
14/11/24,0.033112397,0.022628922,0.046267439,-0.013155042,,,0.126807305,
13/11/24,-0.003344371,0.006420742,0.011904411,-0.015248782,,,0.109624866,
